window_id,payload_bytes,bursts,inflight_peak,buffer_max_bytes
21,0,0,25,0
21,0,0,24,0
21,0,0,25,0
21,0,0,24,0
21,0,0,25,0
21,0,0,25,0
21,0,0,24,0
21,0,0,24,0
21,0,0,24,0
21,0,0,24,0
21,0,0,24,0
21,0,0,24,0
21,0,0,24,0
21,0,0,23,0
21,0,0,21,0
21,0,0,25,0
21,0,0,25,0
21,0,0,23,0
21,0,0,24,0
21,0,0,23,0
22,0,0,25,0
22,0,0,24,0
22,0,0,25,0
22,0,0,24,0
22,0,0,25,0
22,0,0,25,0
22,0,0,24,0
22,0,0,24,0
22,0,0,24,0
22,0,0,24,0
22,0,0,24,0
22,0,0,24,0
22,0,0,24,0
22,0,0,23,0
22,0,0,21,0
22,0,0,25,0
22,0,0,25,0
22,0,0,23,0
22,0,0,24,0
22,0,0,23,0
23,0,0,25,0
23,0,0,24,0
23,0,0,25,0
23,0,0,24,0
23,0,0,25,0
23,0,0,25,0
23,0,0,24,0
23,0,0,24,0
23,0,0,24,0
23,0,0,24,0
23,0,0,24,0
23,0,0,24,0
23,0,0,24,0
23,0,0,23,0
23,0,0,21,0
23,0,0,25,0
23,0,0,25,0
23,0,0,23,0
23,0,0,24,0
23,0,0,23,0
24,0,0,25,0
24,0,0,24,0
24,0,0,25,0
24,0,0,24,0
24,0,0,25,0
24,0,0,25,0
24,0,0,24,0
24,0,0,24,0
24,0,0,24,0
24,0,0,24,0
24,0,0,24,0
24,0,0,24,0
24,0,0,24,0
24,0,0,23,0
24,0,0,21,0
24,0,0,25,0
24,0,0,25,0
24,0,0,23,0
24,0,0,24,0
24,0,0,23,0
25,0,0,25,0
25,0,0,24,0
25,0,0,25,0
25,0,0,24,0
25,0,0,25,0
25,0,0,25,0
25,0,0,24,0
25,0,0,24,0
25,0,0,24,0
25,0,0,24,0
25,0,0,24,0
25,0,0,24,0
25,0,0,24,0
25,0,0,23,0
25,0,0,21,0
25,0,0,25,0
25,0,0,25,0
25,0,0,23,0
25,0,0,24,0
25,0,0,23,0
26,0,0,25,0
26,0,0,24,0
26,0,0,25,0
26,0,0,24,0
26,0,0,25,0
26,0,0,25,0
26,0,0,24,0
26,0,0,24,0
26,0,0,24,0
26,0,0,24,0
26,0,0,24,0
26,0,0,24,0
26,0,0,24,0
26,0,0,23,0
26,0,0,21,0
26,0,0,25,0
26,0,0,25,0
26,0,0,23,0
26,0,0,24,0
